month-year,net sales/income from operations,other operating income,total income from operations,consumption of raw materials,purchase of traded goods,increase/decrease in stocks,power fuel,employees cost,depreciation,excise duty,admin. and selling expenses,r d expenses,provisions and contingencies,exp. capitalised,other expenses,p/l before other inc. int.excpt. items tax,other income,p/l before int.excpt. items tax,interest,p/l before exceptional items tax,exceptional items,p/l before tax,tax,p/l after tax from ordinary activities,prior year adjustments,extra ordinary items,net profit/(loss) for the period,equity share capital,reserves excluding revaluation reserves,equity dividend rate (%),basic eps,diluted eps,basic eps.,diluted eps.,no of shares (crores),share holding (%),- number of shares (crores),- per. of shares (as a % of the total sh. of prom. and promoter group),- per. of shares (as a % of the total share cap. of the company),- number of shares (crores).,- per. of shares (as a % of the total sh. of prom. and promoter group).,- per. of shares (as a % of the total share cap. of the company).,stock_name
Mar '21,"1,695.60",--,"1,695.60",--,--,-1.08,--,51.52,62.52,--,--,--,--,--,940.84,641.80,44.36,686.16,40.48,645.68,-14.47,631.21,159.26,471.95,--,--,471.95,109.98,"1,842.44",25.00,4.20,4.20,4.20,4.20,--,--,--,--,--,--,--,--,ADANI TOTAL GAS
Mar '20,"1,874.55",--,"1,874.55",--,--,0.34,--,47.46,50.70,--,--,--,--,--,"1,231.99",544.06,44.39,588.45,41.05,547.40,--,547.40,111.16,436.24,--,--,436.24,109.98,"1,370.34",25.00,3.97,3.97,3.97,3.97,--,--,--,--,--,--,--,--,ADANI TOTAL GAS
Mar '19,"1,718.96",--,"1,718.96",--,--,5.44,--,42.00,67.31,--,--,--,--,--,"1,216.88",387.33,86.68,474.01,89.85,384.16,-27.64,356.52,127.81,228.71,--,--,228.71,109.98,"1,001.50",25.00,2.08,2.08,2.08,2.08,--,--,--,--,--,--,--,--,ADANI TOTAL GAS
Mar '18,"1,373.67",--,"1,373.67",--,--,0.64,--,38.91,61.01,--,--,--,--,--,968.85,304.26,80.06,384.32,125.33,258.99,--,258.99,94.39,164.60,--,--,164.60,256.74,768.94,--,1.50,1.50,1.50,1.50,--,--,--,--,--,--,--,--,ADANI TOTAL GAS
Mar '17,"1,157.14",5.30,"1,162.44",269.78,408.88,0.41,--,39.36,56.17,--,--,--,--,--,167.05,220.79,40.54,261.32,44.27,217.06,-60.97,156.09,54.90,101.19,--,--,101.19,256.74,458.10,--,3.94,3.94,3.94,3.94,--,--,--,--,--,--,--,--,ADANI TOTAL GAS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADANI TOTAL GAS
Mar '21,755.23,--,755.23,--,754.43,--,--,3.80,0.29,--,--,--,--,--,7.11,-10.40,679.43,669.03,690.24,-21.21,--,-21.21,--,-21.21,--,--,-21.21,"1,099.81",157.10,--,-2.30,-2.30,-2.30,-2.30,--,--,--,--,--,--,--,--,ADANI TRANS
Mar '20,857.79,--,857.79,--,857.21,--,--,3.27,0.30,--,--,--,--,--,20.11,-23.10,795.83,772.73,767.19,5.54,--,5.54,--,5.54,--,--,5.54,"1,099.81",431.21,--,3.43,3.43,3.43,3.43,--,--,--,--,--,--,--,--,ADANI TRANS
Mar '19,832.83,--,832.83,--,828.25,--,--,4.45,0.12,--,--,--,--,--,11.14,-11.13,798.58,787.45,733.45,54.00,--,54.00,11.60,42.40,--,--,42.40,"1,099.81",650.52,--,2.39,2.39,2.39,2.39,--,--,--,--,--,--,--,--,ADANI TRANS
Mar '18,835.29,--,835.29,--,815.61,--,--,6.07,0.08,--,--,--,--,--,19.03,-5.50,775.03,769.53,794.16,-24.63,--,-24.63,--,-24.63,--,--,-24.63,"1,099.81",904.33,--,-0.67,-0.67,-0.67,-0.67,--,--,--,--,--,--,--,--,ADANI TRANS
